"DateTime";"Aanvoertemperatuur [Warmtapwater bwdl Geel] [°C]"
"2023-05-01 00:00:00";29,3
"2023-05-01 00:01:00";29,32
"2023-05-01 00:02:00";29,32
"2023-05-01 00:03:00";29,33
"2023-05-01 00:04:00";29,34
"2023-05-01 00:05:00";29,35
"2023-05-01 00:06:00";29,35
"2023-05-01 00:07:00";29,36
"2023-05-01 00:08:00";29,38
"2023-05-01 00:09:00";29,39
"2023-05-01 00:10:00";29,4
"2023-05-01 00:11:00";29,41
"2023-05-01 00:12:00";29,43
"2023-05-01 00:13:00";29,43
"2023-05-01 00:14:00";29,45
"2023-05-01 00:15:00";29,45
"2023-05-01 00:16:00";29,43
"2023-05-01 00:17:00";29,41
"2023-05-01 00:18:00";29,41
"2023-05-01 00:19:00";29,4
"2023-05-01 00:20:00";29,39
"2023-05-01 00:21:00";29,37
"2023-05-01 00:22:00";29,35
"2023-05-01 00:23:00";29,34
"2023-05-01 00:24:00";29,34
"2023-05-01 00:25:00";29,32
"2023-05-01 00:26:00";29,31
"2023-05-01 00:27:00";29,28
"2023-05-01 00:28:00";29,27
"2023-05-01 00:29:00";29,26
"2023-05-01 00:30:00";29,24
"2023-05-01 00:31:00";29,24
"2023-05-01 00:32:00";29,24
"2023-05-01 00:33:00";29,22
"2023-05-01 00:34:00";29,22
"2023-05-01 00:35:00";29,21
"2023-05-01 00:36:00";29,19
"2023-05-01 00:37:00";29,18
"2023-05-01 00:38:00";29,16
"2023-05-01 00:39:00";29,15
"2023-05-01 00:40:00";29,14
"2023-05-01 00:41:00";29,11
"2023-05-01 00:42:00";29,11
"2023-05-01 00:43:00";29,09
"2023-05-01 00:44:00";29,08
"2023-05-01 00:45:00";29,05
"2023-05-01 00:46:00";29,03
"2023-05-01 00:47:00";29,01
"2023-05-01 00:48:00";29
"2023-05-01 00:49:00";29
"2023-05-01 00:50:00";29
"2023-05-01 00:51:00";28,98
"2023-05-01 00:52:00";28,98
"2023-05-01 00:53:00";28,97
"2023-05-01 00:54:00";28,99
"2023-05-01 00:55:00";29
"2023-05-01 00:56:00";28,99
"2023-05-01 00:57:00";29
"2023-05-01 00:58:00";29
"2023-05-01 00:59:00";29
"2023-05-01 01:00:00";29,02
"2023-05-01 01:01:00";29,01
"2023-05-01 01:02:00";29,03
"2023-05-01 01:03:00";29,04
"2023-05-01 01:04:00";29,06
"2023-05-01 01:05:00";29,06
"2023-05-01 01:06:00";29,06
"2023-05-01 01:07:00";29,07
"2023-05-01 01:08:00";29,07
"2023-05-01 01:09:00";29,08
"2023-05-01 01:10:00";29,1
"2023-05-01 01:11:00";29,1
"2023-05-01 01:12:00";29,11
"2023-05-01 01:13:00";29,12
"2023-05-01 01:14:00";29,13
"2023-05-01 01:15:00";29,13
"2023-05-01 01:16:00";29,16
"2023-05-01 01:17:00";29,16
"2023-05-01 01:18:00";29,15
"2023-05-01 01:19:00";29,16
"2023-05-01 01:20:00";29,16
"2023-05-01 01:21:00";29,18
"2023-05-01 01:22:00";29,18
"2023-05-01 01:23:00";29,19
"2023-05-01 01:24:00";29,2
"2023-05-01 01:25:00";29,2
"2023-05-01 01:26:00";29,2
"2023-05-01 01:27:00";29,21
"2023-05-01 01:28:00";29,22
"2023-05-01 01:29:00";29,22
"2023-05-01 01:30:00";29,24
"2023-05-01 01:31:00";29,23
"2023-05-01 01:32:00";29,24
"2023-05-01 01:33:00";29,26
"2023-05-01 01:34:00";29,26
"2023-05-01 01:35:00";29,26
"2023-05-01 01:36:00";29,27
"2023-05-01 01:37:00";29,27
"2023-05-01 01:38:00";29,27
"2023-05-01 01:39:00";29,29
"2023-05-01 01:40:00";29,29
"2023-05-01 01:41:00";29,28
"2023-05-01 01:42:00";29,3
"2023-05-01 01:43:00";29,3
"2023-05-01 01:44:00";29,3
"2023-05-01 01:45:00";29,31
"2023-05-01 01:46:00";29,32
"2023-05-01 01:47:00";29,33
"2023-05-01 01:48:00";29,33
"2023-05-01 01:49:00";29,34
"2023-05-01 01:50:00";29,35
"2023-05-01 01:51:00";29,36
"2023-05-01 01:52:00";29,36
"2023-05-01 01:53:00";29,36
"2023-05-01 01:54:00";29,35
"2023-05-01 01:55:00";29,35
"2023-05-01 01:56:00";29,35
"2023-05-01 01:57:00";29,35
"2023-05-01 01:58:00";29,35
"2023-05-01 01:59:00";29,35
"2023-05-01 02:00:00";29,36
"2023-05-01 02:01:00";29,36
"2023-05-01 02:02:00";29,36
"2023-05-01 02:03:00";29,36
"2023-05-01 02:04:00";29,36
"2023-05-01 02:05:00";29,37
"2023-05-01 02:06:00";29,37
"2023-05-01 02:07:00";29,37
"2023-05-01 02:08:00";29,37
"2023-05-01 02:09:00";29,38
"2023-05-01 02:10:00";29,38
"2023-05-01 02:11:00";29,38
"2023-05-01 02:12:00";29,38
"2023-05-01 02:13:00";29,39
"2023-05-01 02:14:00";29,39
"2023-05-01 02:15:00";29,4
"2023-05-01 02:16:00";29,41
"2023-05-01 02:17:00";29,41
"2023-05-01 02:18:00";29,41
"2023-05-01 02:19:00";29,41
"2023-05-01 02:20:00";29,41
"2023-05-01 02:21:00";29,42
"2023-05-01 02:22:00";29,43
"2023-05-01 02:23:00";29,43
"2023-05-01 02:24:00";29,45
"2023-05-01 02:25:00";29,45
"2023-05-01 02:26:00";29,46
"2023-05-01 02:27:00";29,46
"2023-05-01 02:28:00";29,46
"2023-05-01 02:29:00";29,46
"2023-05-01 02:30:00";29,47
"2023-05-01 02:31:00";29,47
"2023-05-01 02:32:00";29,48
"2023-05-01 02:33:00";29,48
"2023-05-01 02:34:00";29,45
"2023-05-01 02:35:00";29,4
"2023-05-01 02:36:00";29,34
"2023-05-01 02:37:00";29,34
"2023-05-01 02:38:00";29,29
"2023-05-01 02:39:00";29,24
"2023-05-01 02:40:00";29,18
"2023-05-01 02:41:00";29,11
"2023-05-01 02:42:00";29,05
"2023-05-01 02:43:00";28,91
"2023-05-01 02:44:00";28,91
"2023-05-01 02:45:00";28,83
"2023-05-01 02:46:00";28,83
"2023-05-01 02:47:00";28,77
"2023-05-01 02:48:00";28,72
"2023-05-01 02:49:00";28,69
"2023-05-01 02:50:00";28,69
"2023-05-01 02:51:00";28,69
"2023-05-01 02:52:00";28,73
"2023-05-01 02:53:00";28,74
"2023-05-01 02:54:00";28,76
"2023-05-01 02:55:00";28,76
"2023-05-01 02:56:00";28,79
"2023-05-01 02:57:00";28,82
"2023-05-01 02:58:00";28,83
"2023-05-01 02:59:00";28,85
"2023-05-01 03:00:00";28,88
"2023-05-01 03:01:00";28,89
"2023-05-01 03:02:00";28,93
"2023-05-01 03:03:00";28,95
"2023-05-01 03:04:00";28,95
"2023-05-01 03:05:00";28,98
"2023-05-01 03:06:00";29
"2023-05-01 03:07:00";29,01
"2023-05-01 03:08:00";29,03
"2023-05-01 03:09:00";29,05
"2023-05-01 03:10:00";29,07
"2023-05-01 03:11:00";29,09
"2023-05-01 03:12:00";29,1
"2023-05-01 03:13:00";29,1
"2023-05-01 03:14:00";29,11
"2023-05-01 03:15:00";29,12
"2023-05-01 03:16:00";29,11
"2023-05-01 03:17:00";29,11
"2023-05-01 03:18:00";29,11
"2023-05-01 03:19:00";29,11
"2023-05-01 03:20:00";29,1
"2023-05-01 03:21:00";29,08
"2023-05-01 03:22:00";29,08
"2023-05-01 03:23:00";29,07
"2023-05-01 03:24:00";29,06
"2023-05-01 03:25:00";29,05
"2023-05-01 03:26:00";29,05
"2023-05-01 03:27:00";29,03
"2023-05-01 03:28:00";29
"2023-05-01 03:29:00";29
"2023-05-01 03:30:00";28,99
"2023-05-01 03:31:00";28,99
"2023-05-01 03:32:00";28,98
"2023-05-01 03:33:00";28,97
"2023-05-01 03:34:00";28,97
"2023-05-01 03:35:00";28,96
"2023-05-01 03:36:00";28,95
"2023-05-01 03:37:00";28,93
"2023-05-01 03:38:00";28,93
"2023-05-01 03:39:00";28,9
"2023-05-01 03:40:00";28,9
"2023-05-01 03:41:00";28,88
"2023-05-01 03:42:00";28,88
"2023-05-01 03:43:00";28,88
"2023-05-01 03:44:00";28,86
"2023-05-01 03:45:00";28,84
"2023-05-01 03:46:00";28,81
"2023-05-01 03:47:00";28,78
"2023-05-01 03:48:00";28,76
"2023-05-01 03:49:00";28,76
"2023-05-01 03:50:00";28,74
"2023-05-01 03:51:00";28,74
"2023-05-01 03:52:00";28,74
"2023-05-01 03:53:00";28,73
"2023-05-01 03:54:00";28,72
"2023-05-01 03:55:00";28,71
"2023-05-01 03:56:00";28,7
"2023-05-01 03:57:00";28,7
"2023-05-01 03:58:00";28,7
"2023-05-01 03:59:00";28,7
"2023-05-01 04:00:00";28,71
"2023-05-01 04:01:00";28,71
"2023-05-01 04:02:00";28,72
"2023-05-01 04:03:00";28,73
"2023-05-01 04:04:00";28,73
"2023-05-01 04:05:00";28,74
"2023-05-01 04:06:00";26,53
"2023-05-01 04:07:00";26,53
"2023-05-01 04:08:00";20,19
"2023-05-01 04:09:00";71,45
"2023-05-01 04:10:00";77,17
"2023-05-01 04:11:00";76,76
"2023-05-01 04:12:00";81,12
"2023-05-01 04:13:00";66,43
"2023-05-01 04:14:00";62,92
"2023-05-01 04:15:00";69
"2023-05-01 04:16:00";69
"2023-05-01 04:17:00";67,46
"2023-05-01 04:18:00";66,77
"2023-05-01 04:19:00";64,32
"2023-05-01 04:20:00";64,78
"2023-05-01 04:21:00";62,7
"2023-05-01 04:22:00";62,13
"2023-05-01 04:23:00";62,24
"2023-05-01 04:24:00";62,2
"2023-05-01 04:25:00";62,2
"2023-05-01 04:26:00";62,1
"2023-05-01 04:27:00";62,15
"2023-05-01 04:28:00";62,19
"2023-05-01 04:29:00";63,7
"2023-05-01 04:30:00";64,43
"2023-05-01 04:31:00";64,78
"2023-05-01 04:32:00";66,22
"2023-05-01 04:33:00";66,6
"2023-05-01 04:34:00";66,6
"2023-05-01 04:35:00";67,73
"2023-05-01 04:36:00";67,87
"2023-05-01 04:37:00";68,28
"2023-05-01 04:38:00";66,68
"2023-05-01 04:39:00";65,4
"2023-05-01 04:40:00";64,73
"2023-05-01 04:41:00";61,46
"2023-05-01 04:42:00";61,06
"2023-05-01 04:43:00";61,06
"2023-05-01 04:44:00";60,8
"2023-05-01 04:45:00";61,12
"2023-05-01 04:46:00";61,65
"2023-05-01 04:47:00";61,89
"2023-05-01 04:48:00";62,4
"2023-05-01 04:49:00";62,81
"2023-05-01 04:50:00";64,25
"2023-05-01 04:51:00";64,25
"2023-05-01 04:52:00";64,95
"2023-05-01 04:53:00";65,3
"2023-05-01 04:54:00";65,75
"2023-05-01 04:55:00";66,05
"2023-05-01 04:56:00";66,87
"2023-05-01 04:57:00";67,33
"2023-05-01 04:58:00";67,52
"2023-05-01 04:59:00";68,82
"2023-05-01 05:00:00";68,82
"2023-05-01 05:01:00";69,39
"2023-05-01 05:02:00";70,28
"2023-05-01 05:03:00";70,72
"2023-05-01 05:04:00";71,26
"2023-05-01 05:05:00";71,46
"2023-05-01 05:06:00";71,86
"2023-05-01 05:07:00";72,15
"2023-05-01 05:08:00";71,99
"2023-05-01 05:09:00";71,99
"2023-05-01 05:10:00";72,06
"2023-05-01 05:11:00";72,27
"2023-05-01 05:12:00";72,31
"2023-05-01 05:13:00";72,44
"2023-05-01 05:14:00";72,41
"2023-05-01 05:15:00";65,45
"2023-05-01 05:16:00";57,48
"2023-05-01 05:17:00";56,81
"2023-05-01 05:18:00";56,81
"2023-05-01 05:19:00";56,36
"2023-05-01 05:20:00";56,28
"2023-05-01 05:21:00";56,19
"2023-05-01 05:22:00";56,04
