"DateTime";"Geel Tapwater Warmtepomp uur tabel [Energieregistratie- Thermische energie Geel] [kWh]"
"2023-05-01 00:00:00";0
"2023-05-01 01:00:00";0
"2023-05-01 02:00:00";0
"2023-05-01 03:00:00";0
"2023-05-01 04:00:00";0
"2023-05-01 05:00:00";22
"2023-05-01 06:00:00";3
"2023-05-01 07:00:00";0
"2023-05-01 08:00:00";15
"2023-05-01 09:00:00";16
"2023-05-01 10:00:00";2
"2023-05-01 11:00:00";17
"2023-05-01 12:00:00";12
"2023-05-01 13:00:00";0
"2023-05-01 14:00:00";24
"2023-05-01 15:00:00";21
"2023-05-01 16:00:00";21
"2023-05-01 17:00:00";15
"2023-05-01 18:00:00";0
"2023-05-01 19:00:00";0
"2023-05-01 20:00:00";0
"2023-05-01 21:00:00";0
"2023-05-01 22:00:00";0
"2023-05-01 23:00:00";0
