"DateTime";"Warm tapwater keuken water uur tabel [Energieregistratie- Water totaal] [m3]"
"2023-05-01 00:00:00";0
"2023-05-01 01:00:00";0
"2023-05-01 02:00:00";0
"2023-05-01 03:00:00";0,03
"2023-05-01 04:00:00";0
"2023-05-01 05:00:00";0,05
"2023-05-01 06:00:00";0
"2023-05-01 07:00:00";0,01
"2023-05-01 08:00:00";0,1
"2023-05-01 09:00:00";0,1
"2023-05-01 10:00:00";0,05
"2023-05-01 11:00:00";0,13
"2023-05-01 12:00:00";0,05
"2023-05-01 13:00:00";0,18
"2023-05-01 14:00:00";0,36
"2023-05-01 15:00:00";0,33
"2023-05-01 16:00:00";0,22
"2023-05-01 17:00:00";0,06
"2023-05-01 18:00:00";0,03
"2023-05-01 19:00:00";0,02
"2023-05-01 20:00:00";0
"2023-05-01 21:00:00";0
"2023-05-01 22:00:00";0
"2023-05-01 23:00:00";0
