"DateTime";"Temp.buffer Midden [Warmtapwater bwdl Geel] [°C]"
"2023-04-13 00:00:00";64,5
"2023-04-13 00:08:00";64,5
"2023-04-13 00:16:00";64,5
"2023-04-13 00:24:00";64,4
"2023-04-13 00:32:00";64,4
"2023-04-13 00:40:00";64,4
"2023-04-13 00:48:00";64,4
"2023-04-13 00:56:00";64,3
"2023-04-13 01:04:00";64,3
"2023-04-13 01:12:00";64,3
"2023-04-13 01:20:00";64,3
"2023-04-13 01:28:00";64,1
"2023-04-13 01:36:00";64,1
"2023-04-13 01:44:00";64,1
"2023-04-13 01:52:00";64
"2023-04-13 02:00:00";64
"2023-04-13 02:08:00";64
"2023-04-13 02:16:00";64
"2023-04-13 02:24:00";64
"2023-04-13 02:32:00";64,1
"2023-04-13 02:40:00";64
"2023-04-13 02:48:00";64
"2023-04-13 02:56:00";64
"2023-04-13 03:04:00";64
"2023-04-13 03:12:00";64
"2023-04-13 03:20:00";63,9
"2023-04-13 03:28:00";63,9
"2023-04-13 03:36:00";63,9
"2023-04-13 03:44:00";63,9
"2023-04-13 03:52:00";63,9
"2023-04-13 04:00:00";63,9
"2023-04-13 04:08:00";63,8
"2023-04-13 04:16:00";63,8
"2023-04-13 04:24:00";63,8
"2023-04-13 04:32:00";63,7
"2023-04-13 04:40:00";63,6
"2023-04-13 04:48:00";63,6
"2023-04-13 04:56:00";63,6
"2023-04-13 05:04:00";63,6
"2023-04-13 05:12:00";63,6
"2023-04-13 05:20:00";63,5
"2023-04-13 05:28:00";63,5
"2023-04-13 05:36:00";63,5
"2023-04-13 05:44:00";63,5
"2023-04-13 05:52:00";63,4
"2023-04-13 06:00:00";63,4
"2023-04-13 06:08:00";63,4
"2023-04-13 06:16:00";63,3
"2023-04-13 06:24:00";63,3
"2023-04-13 06:32:00";63,2
"2023-04-13 06:40:00";63,2
"2023-04-13 06:48:00";63,2
"2023-04-13 06:56:00";63,2
"2023-04-13 07:04:00";62,7
"2023-04-13 07:12:00";61,8
"2023-04-13 07:20:00";60,4
"2023-04-13 07:28:00";59,5
"2023-04-13 07:36:00";58,8
"2023-04-13 07:44:00";58,3
"2023-04-13 07:52:00";57,9
"2023-04-13 08:00:00";57,6
"2023-04-13 08:08:00";57,5
"2023-04-13 08:16:00";58,7
"2023-04-13 08:24:00";62,4
"2023-04-13 08:32:00";64,1
"2023-04-13 08:40:00";64,5
"2023-04-13 08:48:00";64,5
"2023-04-13 08:56:00";64,6
"2023-04-13 09:04:00";64,6
"2023-04-13 09:12:00";64,6
"2023-04-13 09:20:00";64,6
"2023-04-13 09:28:00";64,6
"2023-04-13 09:36:00";64,6
"2023-04-13 09:44:00";64,1
"2023-04-13 09:52:00";63,8
"2023-04-13 10:00:00";63,8
"2023-04-13 10:08:00";63,5
"2023-04-13 10:16:00";62,8
"2023-04-13 10:24:00";62,5
