"DateTime";"Warm tapwater keuken water uur tabel [Energieregistratie- Water totaal] [m3]"
"2023-04-13 00:00:00";0
"2023-04-13 01:00:00";0
"2023-04-13 02:00:00";0
"2023-04-13 03:00:00";0,02
"2023-04-13 04:00:00";0
"2023-04-13 05:00:00";0,06
"2023-04-13 06:00:00";0
"2023-04-13 07:00:00";0,01
"2023-04-13 08:00:00";0,06
"2023-04-13 09:00:00";0,06
"2023-04-13 10:00:00";0,06
"2023-04-13 11:00:00";0,16
"2023-04-13 12:00:00";0,06
"2023-04-13 13:00:00";0,17
"2023-04-13 14:00:00";0,43
"2023-04-13 15:00:00";0,45
"2023-04-13 16:00:00";0,17
"2023-04-13 17:00:00";0,02
"2023-04-13 18:00:00";0,05
"2023-04-13 19:00:00";0,03
"2023-04-13 20:00:00";0
"2023-04-13 21:00:00";0
"2023-04-13 22:00:00";0
"2023-04-13 23:00:00";0
