"DateTime";"Temp.buffer Midden [Warmtapwater bwdl Geel] [°C]"
"2023-05-04 00:00:00";66,5
"2023-05-04 00:08:00";66,5
"2023-05-04 00:16:00";66,5
"2023-05-04 00:24:00";66,4
"2023-05-04 00:32:00";66,4
"2023-05-04 00:40:00";66,4
"2023-05-04 00:48:00";66,4
"2023-05-04 00:56:00";66,4
"2023-05-04 01:04:00";66,3
"2023-05-04 01:12:00";66,3
"2023-05-04 01:20:00";66,3
"2023-05-04 01:28:00";66,3
"2023-05-04 01:36:00";66,2
"2023-05-04 01:44:00";66,2
"2023-05-04 01:52:00";66,1
"2023-05-04 02:00:00";66,1
"2023-05-04 02:08:00";66,1
"2023-05-04 02:16:00";66
"2023-05-04 02:24:00";66
"2023-05-04 02:32:00";66
"2023-05-04 02:40:00";66
"2023-05-04 02:48:00";65,9
"2023-05-04 02:56:00";65,9
"2023-05-04 03:04:00";65,9
"2023-05-04 03:12:00";65,9
"2023-05-04 03:20:00";65,9
"2023-05-04 03:28:00";65,8
"2023-05-04 03:36:00";65,8
"2023-05-04 03:44:00";65,8
"2023-05-04 03:52:00";65,8
"2023-05-04 04:00:00";65,8
"2023-05-04 04:08:00";65,7
"2023-05-04 04:16:00";65,7
"2023-05-04 04:24:00";65,7
"2023-05-04 04:32:00";65,7
"2023-05-04 04:40:00";65,6
"2023-05-04 04:48:00";65,5
"2023-05-04 04:56:00";65,5
"2023-05-04 05:04:00";65,5
"2023-05-04 05:12:00";65,5
"2023-05-04 05:20:00";65,4
"2023-05-04 05:28:00";65,4
"2023-05-04 05:36:00";65,4
"2023-05-04 05:44:00";65,4
"2023-05-04 05:52:00";65,4
"2023-05-04 06:00:00";65,3
"2023-05-04 06:08:00";65,3
"2023-05-04 06:16:00";65,3
"2023-05-04 06:24:00";65,3
"2023-05-04 06:32:00";65,3
"2023-05-04 06:40:00";65,2
"2023-05-04 06:48:00";65,2
"2023-05-04 06:56:00";65,2
"2023-05-04 07:04:00";64,9
"2023-05-04 07:12:00";64,4
"2023-05-04 07:20:00";64,3
"2023-05-04 07:28:00";63,8
"2023-05-04 07:36:00";62,4
