"DateTime";"Warm tapwater keuken water uur tabel [Energieregistratie- Water totaal] [m3]"
"2023-04-18 00:00:00";0
"2023-04-18 01:00:00";0
"2023-04-18 02:00:00";0
"2023-04-18 03:00:00";0,03
"2023-04-18 04:00:00";0
"2023-04-18 05:00:00";0,06
"2023-04-18 06:00:00";0
"2023-04-18 07:00:00";0
"2023-04-18 08:00:00";0,08
"2023-04-18 09:00:00";0,05
"2023-04-18 10:00:00";0,09
"2023-04-18 11:00:00";0,13
"2023-04-18 12:00:00";0,06
"2023-04-18 13:00:00";0,11
"2023-04-18 14:00:00";0,49
"2023-04-18 15:00:00";0,26
"2023-04-18 16:00:00";0,24
"2023-04-18 17:00:00";0,02
"2023-04-18 18:00:00";0,06
"2023-04-18 19:00:00";0,03
"2023-04-18 20:00:00";0
"2023-04-18 21:00:00";0,01
"2023-04-18 22:00:00";0
"2023-04-18 23:00:00";0
