"DateTime";"Temp.buffer Midden [Warmtapwater bwdl Geel] [°C]"
"2023-03-27 00:00:00";53
"2023-03-27 00:08:00";53
"2023-03-27 00:16:00";53
"2023-03-27 00:24:00";52,9
"2023-03-27 00:32:00";52,9
"2023-03-27 00:40:00";52,9
"2023-03-27 00:48:00";52,8
"2023-03-27 00:56:00";52,8
"2023-03-27 01:04:00";52,7
"2023-03-27 01:12:00";52,7
"2023-03-27 01:20:00";52,6
"2023-03-27 01:28:00";52,6
"2023-03-27 01:36:00";52,5
"2023-03-27 01:44:00";52,5
"2023-03-27 01:52:00";52,4
"2023-03-27 02:00:00";52,4
"2023-03-27 02:08:00";52,4
"2023-03-27 02:16:00";52,3
"2023-03-27 02:24:00";52,3
"2023-03-27 02:32:00";51,8
"2023-03-27 02:40:00";51,1
"2023-03-27 02:48:00";50,9
"2023-03-27 02:56:00";50,9
"2023-03-27 03:04:00";50,8
"2023-03-27 03:12:00";50,7
"2023-03-27 03:20:00";50,6
"2023-03-27 03:28:00";50,5
"2023-03-27 03:36:00";50,5
"2023-03-27 03:44:00";50,4
"2023-03-27 03:52:00";50,3
"2023-03-27 04:00:00";50,5
"2023-03-27 04:08:00";52,7
"2023-03-27 04:16:00";56,2
"2023-03-27 04:24:00";56,4
"2023-03-27 04:32:00";56,2
"2023-03-27 04:40:00";56,1
"2023-03-27 04:48:00";56
"2023-03-27 04:56:00";55,8
"2023-03-27 05:04:00";55,7
"2023-03-27 05:12:00";55,6
"2023-03-27 05:20:00";55,7
"2023-03-27 05:28:00";55,8
"2023-03-27 05:36:00";55,7
"2023-03-27 05:44:00";55,7
"2023-03-27 05:52:00";55,7
"2023-03-27 06:00:00";55,7
"2023-03-27 06:08:00";55,7
"2023-03-27 06:16:00";55,7
"2023-03-27 06:24:00";55,7
"2023-03-27 06:32:00";55,7
"2023-03-27 06:40:00";55,7
"2023-03-27 06:48:00";55,7
"2023-03-27 06:56:00";55,7
"2023-03-27 07:04:00";55,6
"2023-03-27 07:12:00";55,6
"2023-03-27 07:20:00";56,1
"2023-03-27 07:28:00";57,5
"2023-03-27 07:36:00";58
"2023-03-27 07:44:00";58,4
"2023-03-27 07:52:00";58,6
"2023-03-27 08:00:00";58,6
"2023-03-27 08:08:00";58,7
"2023-03-27 08:16:00";59,1
"2023-03-27 08:24:00";61,1
"2023-03-27 08:32:00";63,4
"2023-03-27 08:40:00";64,8
"2023-03-27 08:48:00";66,2
"2023-03-27 08:56:00";67
"2023-03-27 09:04:00";67,2
"2023-03-27 09:12:00";67,2
"2023-03-27 09:20:00";67,1
"2023-03-27 09:28:00";67
"2023-03-27 09:36:00";67
"2023-03-27 09:44:00";67
"2023-03-27 09:52:00";66,9
"2023-03-27 10:00:00";66,9
"2023-03-27 10:08:00";66,9
"2023-03-27 10:16:00";66,4
"2023-03-27 10:24:00";65,2
"2023-03-27 10:32:00";64,8
"2023-03-27 10:40:00";64,8
"2023-03-27 10:48:00";64,2
"2023-03-27 10:56:00";63,5
"2023-03-27 11:04:00";63,5
"2023-03-27 11:12:00";63,3
"2023-03-27 11:20:00";62,4
"2023-03-27 11:28:00";61,3
"2023-03-27 11:36:00";60,4
"2023-03-27 11:44:00";59,6
"2023-03-27 11:52:00";59,2
"2023-03-27 12:00:00";59,1
"2023-03-27 12:08:00";60,5
"2023-03-27 12:16:00";63,4
"2023-03-27 12:24:00";65,1
"2023-03-27 12:32:00";65,9
"2023-03-27 12:40:00";66,7
"2023-03-27 12:48:00";67
"2023-03-27 12:56:00";67
"2023-03-27 13:04:00";67
"2023-03-27 13:12:00";67
"2023-03-27 13:20:00";67
"2023-03-27 13:28:00";67
"2023-03-27 13:36:00";67
"2023-03-27 13:44:00";66,9
"2023-03-27 13:52:00";66,9
"2023-03-27 14:00:00";66,5
"2023-03-27 14:08:00";65,1
"2023-03-27 14:16:00";64
"2023-03-27 14:24:00";63,3
"2023-03-27 14:32:00";63,1
"2023-03-27 14:40:00";62
"2023-03-27 14:48:00";61,4
"2023-03-27 14:56:00";60,3
"2023-03-27 15:04:00";59,1
"2023-03-27 15:12:00";58,2
"2023-03-27 15:20:00";57,3
"2023-03-27 15:28:00";56,6
"2023-03-27 15:36:00";56,4
"2023-03-27 15:44:00";58,8
"2023-03-27 15:52:00";61,4
"2023-03-27 16:00:00";62,3
"2023-03-27 16:08:00";62,8
"2023-03-27 16:16:00";63,2
"2023-03-27 16:24:00";63,3
"2023-03-27 16:32:00";63,4
"2023-03-27 16:40:00";63,4
"2023-03-27 16:48:00";63,4
"2023-03-27 16:56:00";63,4
"2023-03-27 17:04:00";63,4
"2023-03-27 17:12:00";63,2
"2023-03-27 17:20:00";62,9
"2023-03-27 17:28:00";62,9
"2023-03-27 17:36:00";62,8
"2023-03-27 17:44:00";62,7
"2023-03-27 17:52:00";62,1
"2023-03-27 18:00:00";61
"2023-03-27 18:08:00";60,5
"2023-03-27 18:16:00";60,5
"2023-03-27 18:24:00";60,2
"2023-03-27 18:32:00";60,1
"2023-03-27 18:40:00";60,1
"2023-03-27 18:48:00";60,1
"2023-03-27 18:56:00";60,1
"2023-03-27 19:04:00";60,1
"2023-03-27 19:12:00";60,1
"2023-03-27 19:20:00";60
"2023-03-27 19:28:00";59,9
"2023-03-27 19:36:00";59,8
"2023-03-27 19:44:00";59,8
"2023-03-27 19:52:00";59,8
"2023-03-27 20:00:00";59,8
"2023-03-27 20:08:00";59,8
"2023-03-27 20:16:00";59,8
"2023-03-27 20:24:00";59,9
"2023-03-27 20:32:00";59,9
"2023-03-27 20:40:00";59,9
"2023-03-27 20:48:00";59,8
"2023-03-27 20:56:00";59,8
"2023-03-27 21:04:00";59,8
"2023-03-27 21:12:00";59,8
"2023-03-27 21:20:00";59,8
"2023-03-27 21:28:00";59,8
"2023-03-27 21:36:00";59,7
"2023-03-27 21:44:00";59,7
"2023-03-27 21:52:00";59,7
"2023-03-27 22:00:00";59,7
"2023-03-27 22:08:00";59,7
"2023-03-27 22:16:00";59,7
"2023-03-27 22:24:00";59,6
"2023-03-27 22:32:00";59,6
"2023-03-27 22:40:00";59,6
"2023-03-27 22:48:00";59,6
"2023-03-27 22:56:00";59,6
"2023-03-27 23:04:00";59,6
"2023-03-27 23:12:00";59,6
"2023-03-27 23:20:00";59,5
"2023-03-27 23:28:00";59,6
"2023-03-27 23:36:00";59,5
"2023-03-27 23:44:00";59,5
"2023-03-27 23:52:00";59,5
"2023-03-28 00:00:00";59,5
"2023-03-28 00:08:00";59,5
"2023-03-28 00:16:00";59,5
"2023-03-28 00:24:00";59,4
"2023-03-28 00:32:00";59,3
"2023-03-28 00:40:00";59,3
"2023-03-28 00:48:00";59,2
"2023-03-28 00:56:00";59,2
"2023-03-28 01:04:00";59,2
"2023-03-28 01:12:00";59,2
"2023-03-28 01:20:00";59,2
"2023-03-28 01:28:00";59,3
"2023-03-28 01:36:00";59,2
"2023-03-28 01:44:00";59,2
"2023-03-28 01:52:00";59,2
"2023-03-28 02:00:00";59,2
"2023-03-28 02:08:00";59,1
"2023-03-28 02:16:00";59,1
"2023-03-28 02:24:00";59,1
"2023-03-28 02:32:00";59,1
"2023-03-28 02:40:00";59
"2023-03-28 02:48:00";59
"2023-03-28 02:56:00";59
"2023-03-28 03:04:00";59
"2023-03-28 03:12:00";59
"2023-03-28 03:20:00";58,9
"2023-03-28 03:28:00";58,9
"2023-03-28 03:36:00";58,8
"2023-03-28 03:44:00";58,8
"2023-03-28 03:52:00";58,8
"2023-03-28 04:00:00";58,8
"2023-03-28 04:08:00";58,8
