"DateTime";"Tsa Uittredetemperatuur [Warmtapwater bwdl Geel] [°C]"
"2023-01-23 00:00:00";51,1
"2023-01-23 00:01:00";50,96
"2023-01-23 00:02:00";50,96
"2023-01-23 00:03:00";50,96
"2023-01-23 00:04:00";51,1
"2023-01-23 00:05:00";50,68
"2023-01-23 00:06:00";50,82
"2023-01-23 00:07:00";50,82
"2023-01-23 00:08:00";50,82
"2023-01-23 00:09:00";50,82
"2023-01-23 00:10:00";50,55
"2023-01-23 00:11:00";50,82
"2023-01-23 00:12:00";50,55
"2023-01-23 00:13:00";50,82
"2023-01-23 00:14:00";50,82
"2023-01-23 00:15:00";50,82
"2023-01-23 00:16:00";50,82
"2023-01-23 00:17:00";50,96
"2023-01-23 00:18:00";51,25
"2023-01-23 00:19:00";50,96
"2023-01-23 00:20:00";50,82
"2023-01-23 00:21:00";50,82
"2023-01-23 00:22:00";51,25
"2023-01-23 00:23:00";51,39
"2023-01-23 00:24:00";51,39
"2023-01-23 00:25:00";51,1
"2023-01-23 00:26:00";51,39
"2023-01-23 00:27:00";51,54
"2023-01-23 00:28:00";51,54
"2023-01-23 00:29:00";51,39
"2023-01-23 00:30:00";51,68
"2023-01-23 00:31:00";51,83
"2023-01-23 00:32:00";52,11
"2023-01-23 00:33:00";51,68
"2023-01-23 00:34:00";52,11
"2023-01-23 00:35:00";52,41
"2023-01-23 00:36:00";52,26
"2023-01-23 00:37:00";52,26
"2023-01-23 00:38:00";52,26
"2023-01-23 00:39:00";52,7
"2023-01-23 00:40:00";52,55
"2023-01-23 00:41:00";52,7
"2023-01-23 00:42:00";52,84
"2023-01-23 00:43:00";52,84
"2023-01-23 00:44:00";52,84
"2023-01-23 00:45:00";53,29
"2023-01-23 00:46:00";53,14
"2023-01-23 00:47:00";53,44
"2023-01-23 00:48:00";53,44
"2023-01-23 00:49:00";53,14
"2023-01-23 00:50:00";53,44
"2023-01-23 00:51:00";53,14
"2023-01-23 00:52:00";53,74
"2023-01-23 00:53:00";53,59
"2023-01-23 00:54:00";53,74
"2023-01-23 00:55:00";53,29
"2023-01-23 00:56:00";54,04
"2023-01-23 00:57:00";54,04
"2023-01-23 00:58:00";53,59
"2023-01-23 00:59:00";54,04
"2023-01-23 01:00:00";53,89
"2023-01-23 01:01:00";53,74
"2023-01-23 01:02:00";54,04
"2023-01-23 01:03:00";54,34
"2023-01-23 01:04:00";53,89
"2023-01-23 01:05:00";54,19
"2023-01-23 01:06:00";53,89
"2023-01-23 01:07:00";54,34
"2023-01-23 01:08:00";54,34
"2023-01-23 01:09:00";54,34
